DEP;Dream_tercile;Dream_quintile;Upward_mobility;IGE;N_obs
1;0.055085;0.008475;0.427328;0.384616;236
2;0.043434;0.006061;0.34959;0.3336;165
3;0.063158;;0.449172;0.424188;95
4;0.02439;;0.399540;0.275157;41
5;0.043434;;0.457884;0.295;46
6;0.027778;;0.400924;0.5231;180
7;0.020619;;0.379;0.263212;97
8;0.03333;;0.353248;0.304319;90
9;0.064516;;0.362225;0.493625;31
10;0.050633;0.012658;0.416490;0.416490;90
11;0.075;;0.395575;0.571456;80
12;0.053333;;0.433198;0.290963;75
13;0.044503;;0.389460;0.344238;382
14;0.031674;0.009050;0.396656;0.327063;221
15;0.156250;;0.470863;0.3686589;32
16;0.036145;;0.36578;0.316598;83
17;0.005988;;0.367713;0.182393;167
18;0.055555;0.02222;0.406592;0.377990;90
19;0.018519;;0.360845;0.199147;54
21;0.04;0.00667;0.396899;0.324717;150
22;0.053476;0.010695;0.488744;0.253668;187
23;0.032258;;0.331520;0.208675;31
24;0.051724;;0.4111015;0.02090038;116
25;0.12234;0.005263;0.496504;0.284514;190
26;0.05725;;0.390290;0.154087;138
27;0.068421;0.005263;0.464340;0.284514;190
28;0.027027;;0.403692;0.188939;143
29;0.027027;;0.416072;0.324911;259
2A;;;0.35255;0.432142;13
2B;0.1250;;0.391694;0.242007;24
30;0.0909;0.010101;0.405264;0.283462;198
31;0.032258;0.006452;0.410129;0.269666;310
32;0.088888;;0.434943;0.416318;45
33;0.039548;0.002825;0.401788;0.306219;354
34;0.051724;0.008621;0.377617;0.383237;232
35;0.038674;0.005525;0.436997;0.308932;362
36;0.092593;;0.470516;0.202421;54
37;0.0544;;0.3948;0.4901;202
38;0.040712;;0.430654;0.299719;393
39;0.0814;0.01162;0.4456;0.453437;86
40;0.016949;;0.418741;0.210610;118
41;0.0336113;;0.366833;0.276133;119
42;0.075;0.004167;0.384463;0.277827;240
43;0.043478;;0.405072;0.282271;92
44;0.040189;;0.447347;0.263706;423
45;0.064516;0.016129;0.400656;0.415703;186
46;0.121951;;0.482989;0.296086;41
47;0.035294;;0.417847;0.252917;85
48;0.043478;;0.329147;0.291080;23
49;0.051118;0.003195;0.428017;0.330963;313
50;0.067358;0.010363;0.424407;0.318806;193
51;0.060773;0.011050;0.418538;0.244686;181
52;0.019231;;0.354375;0.237498;52
53;0.028369;;0.437233;0.289309;141
54;0.061321;0.004717;0.352301;0.292147;212
55;0.049180;;0.3686;0.177728;61
56;0.06666;0.17778;0.408487;0.347992;225
57;0.040498;0.003115;0.368564;0.286162;321
58;0.048387;0.016129;0.355;0.273195;62
59;0.059925;0.009988;0.413575;0.226344;801
60;0.054688;0.003906;0.394074;0.359324;256
61;0.06666;;0.424987;0.322051;105
62;0.061441;;0.382288;0.326915;472
63;0.041667;0.005952;0.405924;0.294582;168
64;0.062857;0.017143;0.436931;0.316061;175
65;0.0500;;0.439540;0.246146;40
66;0.054;;0.3891;0.249;111
67;0.0398;0.005319;0.464023;0.356375;376
68;0.053498;0.004115;0.4022;0.3227;243
69;0.046948;0.002347;0.408759;0.4190;426
70;0.06944;;0.443079;0.206165;72
71;0.0611;0.005556;0.404700;0.1475591;180
72;0.031915;0.005319;0.4127;0.3094;188
73;0.061404;0.008772;0.4037;0.3045;114
74;0.036735;0.012245;0.4872;0.3415;245
75;0.046610;0.008475;0.4273;0.3462;236
76;0.032663;;0.4274;0.3114;398
77;0.051522;0.002439;0.452578;0.359;427
78;0.02195;0.002439;0.4525;0.359;410
79;0.0530;;0.4263;0.2893;113
80;0.056604;0.006711;0.4036;0.2982;159
81;;;0.2913;0.3171;90
82;0.033898;;0.3456;0.2504;59
83;0.04278;;0.4096;0.5860;187
84;0.046980;0.0067;0.4036;0.2982;149
85;0.04979;;0.4427;0.2027;241
86;0.04;;0.427217;0.3959;152
87;0.0116;0.02381;0.4007;0.3793;84
88;0.0357;;0.3637;0.404051;140
89;0.011628;0.011628;0.4069;0.4232;86
90;;;0.347;0.3820;51
91;0.05414;0.0003185;0.49999;0.368846;314
92;0.032967;0.007326;0.404306;0.382143;273
93;0.055866;0.005587;0.369435;0.3590;179
94;0.057692;0.00961;0.447397;0.789;208
95;0.069498;0.01544;0.4858;0.3419;259
971;0.027778;0.027778;0.2560;0.388745;36
972;;;0.2645;0.257;47
973;0.1666;0.16666;0.2891;0.281;6
France;0.048435;0.004776;0.4090;0.4164;17384
